Gene Name,HU-ventral,HU-dorsal,YAC-ventral,YAC-dorsal,Functional Description
Bmpr1b,-,NS,-,UP,Type I serine/threonine kinase receptor; activates the SMAD1/5/8 pathway; controls developmental gene expression to support embryonic morphogenesis.
Bmpr2,-,NS,-,UP,BMP signaling receptor; activates SMAD and MAPK pathways; acts as a tissue development architect to ensure proper organizational structure.
Bsg,-,NS,UP,UP,Transmembrane protein; supports retinal cell survival and glucose metabolism; regulates monocarboxylate transporters during neuronal network formation.
Cd47,-,NS,-,UP,Membrane receptor; regulates cell survival and immune interactions; influences synaptic plasticity and memory processes in neurons.
Clstn1,-,NS,-,UP,Transport protein and synapse organizer; enables axonal vesicle transport; supports the formation and stabilization of neuronal network connections.
Clstn3,-,-,-,UP,Postsynaptyic adhesion molecule; binds presynaptic neurexins; regulates the balance between excitatory and inhibitory synapses and stabilizes APP metabolism.
Cnr1,-,NS,-,UP,G protein-coupled receptor (CB1); modulates GABAergic and glutamatergic neurotransmission; participates in cannabinoid-dependent depolarization (DSI) to influence memory and mood.
Ctla4,-,NS,-,UP,Lymphocyte inhibitory receptor; maintains immune tolerance; regulates responses to CD28 family signals.
Daglb,-,NS,-,UP,Membrane and nuclear lipase; produces the endocannabinoid 2-arachidonylglycerol (2-AG); essential for endocannabinoid signaling and lipid homeostasis in the brain.
Dll1,-,NS,-,UP,"Notch ligand; controls progenitor cell differentiation and proliferation; prevents premature differentiation in the brain, spinal cord, and retina."
Efna2,-,NS,-,UP,"Surface protein (Eph ligand); guides cell migration, adhesion, and repulsion; participates in the shaping of neuronal networks."
Efna3,-,-,-,UP,GPI-anchored surface ligand; mediates bidirectional contact signaling; controls cell migration and adhesion during neuronal development.
Efna5,-,NS,-,UP,GPI-anchored surface ligand; steers cytoskeleton organization and adhesion; modulates axonal migration and fasciculation in the developing nervous system.
Efnb2,-,NS,-,UP,Cell contact navigator; controls cell migration and repulsion; organizes the structural development of the nervous system.
Efnb3,-,NS,UP,UP,Transmembrane ligand; coordinates axonal growth and orientation (including commissural axons); supports forebrain development and function.
Epha4,-,NS,-,UP,Receptor tyrosine kinase; regulates cell morphology and guides corticospinal axonal pathfinding; participates in synaptic plasticity and neural repair.
Epha5,UP,-,UP,-,Receptor tyrosine kinase; controls axonal growth and organizes brain neuronal networks; acts as a navigator for neuronal development and synaptic plasticity.
Ezr,-,NS,-,UP,Actin-membrane linking protein; conditions cell polarity and cytoskeletal reorganization during movement and migration.
Fgfr2,DOWN,NS,NS,UP,"FGF receptor tyrosine kinase; activates MAPK and PI3K/AKT pathways; regulates cell proliferation, migration, and differentiation during organogenesis."
Fgfr3,-,NS,-,UP,"Receptor tyrosine kinase; regulates cell growth, differentiation, and apoptosis; participates in inner ear development via RAS-MAPK and PI3K-AKT cascades."
Fth1,-,NS,-,UP,Ferritin heavy subunit; manages iron storage and detoxification; protects neurons from oxidative stress and neurodegeneration.
Fzd3,-,UP,-,UP,Wnt signaling receptor; directs neuronal migration and axonal guidance; controls cell polarization in the developing nervous system.
Gabbr1,-,NS,-,UP,GABA(B) receptor subunit (GPCR); inhibits presynaptic neurotransmitter release and reduces postsynaptic excitability; key for hippocampal plasticity.
Gabrb3,-,NS,-,UP,GABA(A) receptor beta-3 subunit; mediates inhibitory synaptic transmission; supports the formation of rapid synaptic connections.
Gabrd,DOWN,NS,NS,UP,GABA(A) receptor delta subunit; mediates tonic inhibitory transmission in the hippocampus and cerebellum; stabilizes neuronal inhibition and excitability.
Gls,-,NS,UP,UP,Mitochondrial glutaminase; catalyzes the hydrolysis of glutamine to glutamate; provides the primary excitatory neurotransmitter in the brain.
Gria1,-,NS,-,UP,"Ionotropic glutamate receptor; enables rapid neuronal excitation; supports learning, memory, and neuronal network maturation."
Gria2,-,UP,-,UP,"Ionotropic glutamate receptor; acts as an excitatory signal regulator and ""fuse""; protects neurons from excessive Ca2+ influx."
Grik1,-,NS,-,UP,Ionotropic kainate receptor; regulates postsynaptic excitation and synaptic transmission; supports network plasticity in the hippocampus and cortex.
Grm5,-,NS,-,UP,Metabotropic glutamate receptor mGlu5 (GPCR); supports neuronal network synchronization; regulates the strengthening or weakening of synaptic connections.
Grm7,DOWN,-,DOWN,-,Metabotropic glutamate receptor (GPCR); acts as a signal regulator and silencer; inhibits neuronal excitability and stabilizes neuronal networks.
Hsd17b12,-,NS,-,UP,Fatty acid elongase enzyme; participates in the synthesis of very long-chain fatty acids (VLCFA); provides precursors for neural cell membranes.
Igf1r,-,NS,-,UP,Receptor growth switch; activates cell division and blocks apoptosis; plays a key role in tissue survival and development.
Il27,-,NS,-,UP,Immune-regulating cytokine; influences T lymphocyte differentiation; maintains the balance between pro- and anti-inflammatory responses.
Inhbb,-,NS,-,UP,"Hormonal and developmental regulator; activates SMAD, JNK, and ERK pathways; influences embryonic proliferation and differentiation."
Itga6,-,NS,-,UP,Adhesion receptor (integrin alpha-6); links cells to the extracellular matrix (laminins); regulates migration and tissue stability.
Itgb1,-,NS,-,UP,"Integrin receptor; serves as a mechanical communication system; controls migration, adhesion, and transmits growth/survival signals."
Lrp6,-,NS,-,UP,Wnt pathway co-receptor; activates Wnt/beta-catenin signaling; directs proliferation and differentiation during embryonic development.
Lrrc4c,-,NS,-,UP,Netrin-G1 partner protein; coordinates axonal growth; participates in the formation and stabilization of brain synaptic connections.
Mdk,-,NS,-,UP,Growth factor (midkine); stimulates cell division and survival; supports cell migration and tissue regeneration.
Nrg1,-,NS,-,UP,Membrane glycoprotein and growth factor; regulates neural and glial cell development (Schwann cells); essential for neuromuscular junction formation.
P4hb,-,-,-,UP,Disulfide isomerase and chaperone; regulates proper folding of proteins and collagen; influences the structure of the extracellular matrix (ECM).
Plxnb2,-,NS,-,UP,Transmembrane semaphorin receptor; coordinates axonal guidance and neuronal migration; essential for the development of excitatory synapses.
Prnp,-,NS,-,UP,Prion protein; regulates synaptic development and plasticity; participates in myelin sheath maintenance and metal ion homeostasis in neurons.
Psap,-,-,-,UP,Prosaposin; acts as a neurotrophic and myelinotrophic factor via GPCR (GPR37) signaling; supports neuronal development and myelination.
Ptges3,-,NS,-,UP,Enzyme and HSP90 co-chaperone; regulates prostaglandin E2 synthesis and cellular stress response; influences neural cell function.
Ptn,-,NS,-,UP,Pleiotropic growth factor; regulates nervous system development and plasticity; acts as a strong inducer of cell migration.
Ptprs,-,NS,-,UP,Receptor tyrosine phosphatase; controls axonal growth and guidance; regulates neurogenesis and nerve regeneration.
Ptprz1,-,NS,-,UP,Receptor tyrosine phosphatase; controls oligodendrocyte precursor proliferation and differentiation; regulates CNS myelination.
Pvr,DOWN,NS,NS,UP,Adhesion protein; mediates cell-cell interactions; participates in migration processes and membrane connection organization.
Rorb,-,NS,-,UP,"Nuclear transcription regulator; essential for neural cell differentiation (retina, interneurons); shapes the cytoarchitecture of the cerebral cortex."
Rspo2,-,NS,-,UP,Secreted Wnt-enhancing ligand; regulates cell differentiation and tissue patterning during embryonic development.
Rxrb,-,NS,-,UP,Nuclear retinoic acid receptor; directs developmental gene expression and metabolic homeostasis in response to retinoids.
Ryk,-,NS,-,UP,Atypical receptor tyrosine kinase; essential for corpus callosum formation and axonal growth guidance via Wnt signaling.
Sfrp1,-,NS,UP,UP,"Wnt pathway modulator; regulates the balance between growth, differentiation, and migration in developing tissues."
Slc1a1,-,NS,UP,UP,Glutamate transporter; terminates postsynaptic neurotransmitter action; protects neurons from excitotoxicity and supports oxidative protection.
Slc1a2,-,NS,-,UP,Glutamate transporter (EAAT2); removes glutamate from synapses (primarily in astrocytes); critical for neuronal plasticity and preventing overexcitation.
Slitrk2,-,NS,-,UP,Membrane protein; promotes excitatory synapse formation; controls neuronal process length and cognitive function development.
Sort1,-,NS,-,UP,"Sortilin receptor; regulates neurotrophin transport (proBDNF, proNGFB); supports neuronal differentiation and functioning."
Tgfbr1,-,NS,-,UP,Serine/threonine kinase receptor; transmits TGF-ß signals to the nucleus; directs cell differentiation and vascular development.
Thra,-,NS,-,UP,Nuclear thyroid hormone receptor; essential for neuronal maturation and embryonic myelination processes.
Tnfrsf8,-,NS,-,UP,TNF family receptor; regulates immune signaling and cell activation/survival; controls the balance of the immune response.
Unc5d,-,NS,-,UP,Netrin receptor; directs axonal repulsion and growth cone shaping in the developing nervous system.
Vegfd,-,NS,-,UP,Endothelial growth factor; stimulates angiogenesis and lymphangiogenesis; participates in vascular development and tissue remodeling.
